Cód. Modular;Gestión;Nombre IE;Nivel;Distrito;Director(a);Últ. Acceso
0219048;Pública de gestión directa;40099;Primaria;Yanahuara;OVIEDO MARROQUIN MARTIN FABIAN;2024-08-13 15:40:39
0219071;Pública de gestión directa;40100 LA CALERA;Primaria;Yura;MOLINA DELGADO ROCIO GILVA;2024-08-20 20:15:46
0219089;Pública de gestión directa;40101 DIVINO JESUS;Primaria;Yura;HERRERA PUMA MARTHA ROCIO;2024-08-21 21:16:44
1769603;Pública de gestión directa;40101 DIVINO JESUS;Secundaria;Yura;HERRERA PUMA MARTHA ROCIO;2024-08-21 21:16:44
1031418;Pública de gestión directa;40101 DIVINO JESUS;Inicial - Jardín;Yura;HERRERA PUMA MARTHA ROCIO;2024-08-21 21:16:44
0219097;Pública de gestión directa;40102 NUESTRA SEÑORA DEL CARMEN PATRONA DE YURA;Primaria;Yura;Palacios  Pinto Carlos Esteban;2024-08-20 19:55:38
0219105;Pública de gestión directa;40103 LIBERTADORES DE AMERICA;Primaria;Cerro Colorado;APAZA LA ROSA JOSE;2024-08-21 18:26:43
0655746;Pública de gestión directa;40103 LIBERTADORES DE AMERICA;Secundaria;Cerro Colorado;APAZA LA ROSA JOSE;2024-08-21 18:26:43
0589085;Pública de gestión directa;40106 JUAN SANTOS ATAHUALPA;Primaria;Cerro Colorado;FUENTES GUTIERREZ JUAN EGINARDO;2024-08-21 14:04:16
1629542;Pública de gestión directa;40106 JUAN SANTOS ATAHUALPA;Secundaria;Cerro Colorado;FUENTES GUTIERREZ JUAN EGINARDO;2024-08-21 14:04:16
0588962;Pública de gestión directa;40120;Primaria;YURA;HUARAYA SULLCA RAMÓN EMETERIO;2024-08-20 21:03:57
0612887;Pública de gestión directa;40141;Primaria;Cerro Colorado;OBLITAS  SANCHEZ IVAN NICOLAS;2024-08-08 10:57:45
0219501;Pública de gestión directa;40143;Primaria;Arequipa;PAYEHUANCA CHOQUE HUBERT ROLANDO;2024-08-21 13:26:53
0219766;Pública de gestión directa;40169 SAN ISIDRO LABRADOR DE PUCCRO;Primaria;Huanca;NOA CORNEJO RIQUELME;2024-08-17 21:55:35
0612853;Pública de gestión directa;40173 DIVINO NIÑO JESUS;Primaria;Cerro Colorado;ROJAS VILLAFUERTE, RICARDO ADOLFO;2024-08-21 15:05:20
1385145;Pública de gestión directa;40173 DIVINO NIÑO JESUS;Inicial - Jardín;Cerro Colorado;ROJAS VILLAFUERTE, RICARDO ADOLFO;2024-08-21 15:05:20
1260942;Pública de gestión directa;40202 CHARLOTTE;Secundaria;Yura;SILVA SALAZAR BRADY RUBEN;2024-08-21 20:52:03
1333145;Pública de gestión directa;40202 CHARLOTTE;Inicial - Jardín;Yura;SILVA SALAZAR BRADY RUBEN;2024-08-21 20:52:03
0655779;Pública de gestión directa;40202 CHARLOTTE;Primaria;Yura;SILVA SALAZAR BRADY RUBEN;2024-08-21 20:52:03
0312652;Pública de gestión directa;40384 SONCCOY QUILLA;Primaria;Huanca;TEVES ZAPANA GERMAN RUSVEL;2024-08-19 23:32:30
0477729;Pública de gestión directa;40388 CORAZON SAGRADO DE JESUS DE LLUTA;Inicial - Jardín;Lluta;ARELA MARÍN CLAUDIO PERCY ;2024-08-21 11:58:17
0498972;Pública de gestión directa;40388 CORAZON SAGRADO DE JESUS DE LLUTA;Secundaria;Lluta;ARELA MARÍN CLAUDIO PERCY ;2024-08-21 11:58:17
0312686;Pública de gestión directa;40388 CORAZON SAGRADO DE JESUS DE LLUTA;Primaria;Lluta;ARELA MARÍN CLAUDIO PERCY ;2024-08-21 11:58:17
0312694;Pública de gestión directa;40389 MIGUEL LINARES MALAGA;Primaria;Lluta;Ccanccapa Pérez Nelson;2024-08-20 10:17:16
1351626;Pública de gestión directa;40389 MIGUEL LINARES MALAGA;Inicial - Jardín;Lluta;Ccanccapa Pérez Nelson;2024-08-20 10:17:16
